Time,X_axis,Y_axis,Z_axis,W_axis
2023-08-03 17:47,0.02099353,0.03028939,-0.005177229,0.9993073
2023-08-03 17:47,0.0209716,0.03036301,-0.005166818,0.9993055
2023-08-03 17:47,0.02094509,0.03034736,-0.00514083,0.9993067
2023-08-03 17:47,0.02098239,0.03032652,-0.00514573,0.9993066
2023-08-03 17:48,0.02098167,0.03029338,-0.005110723,0.9993078
2023-08-03 17:48,0.02099689,0.03034214,-0.005130806,0.9993059
2023-08-03 17:48,0.02098553,0.03035359,-0.005093281,0.9993059
2023-08-03 17:48,0.02099545,0.03030602,-0.005137496,0.9993069
2023-08-03 17:48,0.02097712,0.03037243,-0.005172079,0.9993051
2023-08-03 17:48,0.02096546,0.03033673,-0.005116161,0.9993068
2023-08-03 17:49,0.02096371,0.03034602,-0.005144045,0.9993063
2023-08-03 17:49,0.02095284,0.0304024,-0.005173313,0.9993047
2023-08-03 17:49,0.02097596,0.03038707,-0.005144611,0.9993049
2023-08-03 17:49,0.02097371,0.0304195,-0.005110992,0.9993041
2023-08-03 17:49,0.02099822,0.03040549,-0.00514134,0.9993039
2023-08-03 17:49,0.02099416,0.03040216,-0.005152637,0.9993039
2023-08-03 17:50,0.02099761,0.0304,-0.0051666,0.9993039
2023-08-03 17:50,0.02097554,0.03046714,-0.005144523,0.9993024
2023-08-03 17:50,0.02100506,0.03041697,-0.005162244,0.9993032
2023-08-03 17:50,0.02108688,0.03039592,-0.005142001,0.9993023
2023-08-03 17:50,0.02097684,0.03040642,-0.005152297,0.9993042
2023-08-03 17:50,0.02101996,0.03047596,-0.005145193,0.9993012
2023-08-03 17:51,0.02097539,0.03046879,-0.00517964,0.9993022
2023-08-03 17:51,0.02099359,0.03047363,-0.005121409,0.999302
2023-08-03 17:51,0.0209667,0.03046634,-0.005137622,0.9993027
2023-08-03 17:51,0.0209877,0.03043482,-0.005154499,0.9993031
2023-08-03 17:51,0.02101172,0.03050215,-0.005169216,0.9993005
2023-08-03 17:51,0.02095938,0.0304636,-0.005157323,0.9993028
2023-08-03 17:52,0.02102034,0.03047974,-0.005095127,0.9993014
2023-08-03 17:52,0.02101149,0.03049902,-0.005173069,0.9993006
2023-08-03 17:52,0.02096226,0.03046376,-0.00515469,0.9993027
2023-08-03 17:52,0.0209976,0.03043455,-0.005118027,0.9993031
2023-08-03 17:52,0.02099988,0.03046565,-0.005154551,0.9993019
2023-08-03 17:52,0.02097686,0.03047054,-0.005152967,0.9993022
2023-08-03 17:53,0.02098754,0.03037483,-0.005122552,0.9993051
2023-08-03 17:53,0.02098324,0.03042201,-0.005127849,0.9993037
2023-08-03 17:53,0.02098088,0.03040632,-0.00517296,0.999304
2023-08-03 17:53,0.02100277,0.03043631,-0.005171198,0.9993027
2023-08-03 17:53,0.02098414,0.03043574,-0.005168518,0.9993031
2023-08-03 17:53,0.02100971,0.03047084,-0.00516563,0.9993015
2023-08-03 17:54,0.02099816,0.03052065,-0.005172191,0.9993002
2023-08-03 17:54,0.02098282,0.03053074,-0.005151897,0.9993002
2023-08-03 17:54,0.02099374,0.03052544,-0.005176642,0.9993001
2023-08-03 17:54,0.02097712,0.03055742,-0.00516899,0.9992995
2023-08-03 17:54,0.02101003,0.03052465,-0.005153528,0.9992999
2023-08-03 17:54,0.02100325,0.03049088,-0.005169173,0.999301
2023-08-03 17:55,0.02098815,0.03053864,-0.005166028,0.9992998
2023-08-03 17:55,0.02098712,0.03054737,-0.005145965,0.9992997
2023-08-03 17:55,0.02095447,0.03053379,-0.005139743,0.9993008
2023-08-03 17:55,0.02100866,0.03052353,-0.005157197,0.9992999
2023-08-03 17:55,0.02099539,0.03056558,-0.005116474,0.9992992
2023-08-03 17:55,0.02098487,0.03051943,-0.005154035,0.9993005
2023-08-03 17:56,0.02097196,0.03050524,-0.005120791,0.9993015
2023-08-03 17:56,0.02100152,0.0304982,-0.005148348,0.999301
2023-08-03 17:56,0.02103334,0.03053831,-0.005136486,0.999299
2023-08-03 17:56,0.02096958,0.03053632,-0.005146212,0.9993004
2023-08-03 17:56,0.02103048,0.03057124,-0.005148821,0.999298
2023-08-03 17:56,0.02097873,0.03054615,-0.005150291,0.9992999
2023-08-03 17:57,0.02095887,0.03055976,-0.005140217,0.9992999
2023-08-03 17:57,0.0209673,0.03056682,-0.005161755,0.9992995
2023-08-03 17:57,0.02102165,0.03052017,-0.005129228,0.9992999
2023-08-03 17:57,0.0210071,0.03052331,-0.00513415,0.9993001
2023-08-03 17:57,0.02098625,0.03052546,-0.005140489,0.9993004
2023-08-03 17:57,0.02098921,0.03059577,-0.005144369,0.9992982
2023-08-03 17:58,0.02100815,0.03059496,-0.005145944,0.9992978
2023-08-03 17:58,0.02100924,0.03063597,-0.005147796,0.9992965
2023-08-03 17:58,0.0209764,0.03068496,-0.005175635,0.9992956
2023-08-03 17:58,0.02094471,0.03066214,-0.005154916,0.999297
2023-08-03 17:58,0.02096077,0.03067788,-0.005123915,0.9992964
2023-08-03 17:58,0.02102531,0.03061284,-0.005152849,0.9992968
2023-08-03 17:59,0.02098973,0.03058889,-0.005108761,0.9992986
2023-08-03 17:59,0.02094265,0.0305792,-0.005180082,0.9992995
2023-08-03 17:59,0.02098238,0.03067016,-0.005139121,0.999296
2023-08-03 17:59,0.02095485,0.03062722,-0.005185568,0.9992978
2023-08-03 17:59,0.02096649,0.03058656,-0.005144171,0.9992989
2023-08-03 17:59,0.02098461,0.03065594,-0.005133527,0.9992965
2023-08-03 18:00,0.02097159,0.03072206,-0.005101061,0.9992949
2023-08-03 18:00,0.02101746,0.03069513,-0.005142482,0.9992946
2023-08-03 18:00,0.02101285,0.0306638,-0.005143332,0.9992956
2023-08-03 18:00,0.02101448,0.03065038,-0.005159527,0.9992959
2023-08-03 18:00,0.02102381,0.0306276,-0.005103644,0.9992967
2023-08-03 18:00,0.02104696,0.03060278,-0.005103905,0.999297
2023-08-03 18:01,0.02098453,0.03068154,-0.005145571,0.9992957
2023-08-03 18:01,0.02103394,0.03073848,-0.005115712,0.999293
2023-08-03 18:01,0.02095453,0.03069892,-0.005148403,0.9992958
2023-08-03 18:01,0.02099277,0.0306512,-0.005178859,0.9992962
2023-08-03 18:01,0.02096474,0.03065002,-0.005100494,0.9992973
2023-08-03 18:01,0.02101737,0.03067526,-0.005141903,0.9992952
2023-08-03 18:02,0.02104346,0.03060385,-0.005128916,0.9992968
2023-08-03 18:02,0.02101005,0.03064666,-0.005124123,0.9992963
2023-08-03 18:02,0.02102906,0.03066456,-0.005174784,0.9992951
2023-08-03 18:02,0.02102937,0.0306762,-0.005160713,0.9992948
2023-08-03 18:02,0.02104354,0.03065393,-0.005175426,0.9992951
2023-08-03 18:02,0.02099616,0.0306522,-0.005163667,0.9992962
2023-08-03 18:03,0.02101898,0.03062142,-0.00509714,0.9992971
2023-08-03 18:03,0.02098404,0.03065402,-0.00513288,0.9992966
2023-08-03 18:03,0.02097524,0.03064817,-0.005181931,0.9992967
2023-08-03 18:03,0.02097255,0.03064594,-0.005167945,0.9992968
2023-08-03 18:03,0.02097925,0.0307115,-0.005137302,0.9992949
2023-08-03 18:03,0.02096878,0.03067067,-0.005148262,0.9992963
2023-08-03 18:04,0.02099554,0.03066046,-0.005125971,0.9992961
2023-08-03 18:04,0.02100933,0.0307135,-0.005165972,0.9992941
2023-08-03 18:04,0.02097948,0.03069383,-0.005160742,0.9992954
2023-08-03 18:04,0.02094135,0.0307259,-0.005137629,0.9992953
2023-08-03 18:04,0.02100491,0.03070604,-0.005089657,0.9992948
2023-08-03 18:04,0.02100587,0.03069629,-0.005127248,0.9992948
